Model Name,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Headcount,Target,Hourly Target,Working Time,Takt,Product Efficiency,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Sleeve,Lining,Collar,Body,Body Assy,Slv Assy,Unnamed: 26
SNLS DF,Triangle Flap  Wash Care Label Attach+ Loop ready ,,0.45,1,133.33333333333334,0.45,0.967741935483871,19,1,0.967741935483871,0.032258064516129004,19,,1,1,1,1,,,,,,,,,
Welting M/C,3 Pocket Welting,,0.99,0.9,121.21212121212122,0.891,1.9161290322580644,22,2,1.9161290322580644,0.08387096774193559,22,,1,1,1,1,,,,,,,,,
Table,Pocket Bone Cut,,0.48,0.95,125,0.45599999999999996,0.9806451612903224,23,1,0.9806451612903224,0.01935483870967758,23,,1,1,1,1,,,,,,,,,
SNLS DF,Internal Pocket Seam ( 3 Pkts),,1.48,0.9,121.62162162162161,1.332,2.8645161290322583,24,3,2.8645161290322583,0.13548387096774173,24,,1,1,1,1,,,,,,,,,
Bar tack ,D Bartack-3 Pkt ,,0.88,1,136.36363636363637,0.88,1.89247311827957,25,2,1.89247311827957,0.10752688172043001,25,,1,1,1,1,,,,,,,,,
Welting M/C,3 Pocket Welting,,0.99,0.1,60.60606060606061,0.099,0.2129032258064516,26,1,0.5827956989247312,0.41720430107526885,26,,1,1,1,1,,,,,,,,,
Table,Pocket Bone Cut,,0.48,0.05,125,0.024,0.05161290322580645,26,,,,26,,1,1,1,1,,,,,,,,,
SNLS DF,Internal Pocket Seam ( 3 Pkts),,1.48,0.1,40.54054054054054,0.148,0.31827956989247314,26,,,,26,,1,1,1,1,,,,,,,,,
Zig zag ,Label Attaching Zizzag,,0.44,1,136.36363636363637,0.44,0.946236559139785,27,1,0.946236559139785,0.053763440860215006,27,,1,1,1,1,,,,,,,,,
Iron table,Pocket Iron,Iron,0.81,1,148.14814814814815,0.81,1.7419354838709677,28,2,1.7419354838709677,0.25806451612903225,28,,1,1,1,1,2,,,,,,,,
SNLS DF,Main Lining Seam,,1.35,1,133.33333333333331,1.35,2.903225806451613,29,3,2.903225806451613,0.09677419354838701,29,,1,1,1,1,,,,,,,,,
Iron table,Seam  Open Iron ,,0.47,1,127.65957446808511,0.47,1.010752688172043,30,1,1.010752688172043,-0.010752688172043001,30,,1,1,1,1,,,,,,,,,
Blind hem M/C,Fusible Band On Front Blind Stitch,,0.44,1,136.36363636363637,0.44,0.946236559139785,31,1,0.946236559139785,0.053763440860215006,31,,1,1,1,1,,,,,,,,,
,COLLAR,,3.3900000000000006,,,3.3900000000000006,7.290322580645161,,9,7.290322580645161,0.8100358422939068,,,,,,,,,,,,,,,
Gathering M/C,Under Collar Gathering + Side Lining Attach ,,0.45,1,133.33333333333334,0.45,0.967741935483871,33,1,0.967741935483871,0.032258064516129004,33,,1,1,1,1,,,,,,,,,
SNLS DF,Stand To Top Collar,,0.37,1,162.16216216216216,0.37,0.7956989247311828,34,1,0.7956989247311828,0.20430107526881724,34,,1,1,1,1,,,,,,,,,
Iron table,Tape Fuse To Felt & stand open seam ironing,Iron,0.63,1,190.47619047619048,0.63,1.3548387096774193,35,2,1.3548387096774193,0.6451612903225807,35,,1,1,1,1,,0.28,,,,,,,
Zig zag,Under Collar Felt Zigzag ,,0.43,1,139.53488372093022,0.43,0.9247311827956989,36,1,0.9247311827956989,0.07526881720430112,36,,1,1,1,1,,,,,,,,,
SNLS DF,Collar Pick Ready ,,0.38,1,157.89473684210526,0.38,0.8172043010752689,37,1,0.8172043010752689,0.18279569892473113,37,,1,1,1,1,,,,,,,,,
Table,Collar Trim & Matching ,,0.5,1,120,0.5,1.075268817204301,38,1,1.075268817204301,-0.07526881720430101,38,,1,1,1,1,,,,,,,,,
Iron table,Ready collar ironing & pressing,Press,0.26,1,230.76923076923077,0.26,0.5591397849462365,39,1,0.5591397849462365,0.4408602150537635,39,,1,1,1,1,,,,,,,,,
SNLS DF,Hanger Loop Atach ,,0.37,1,162.16216216216216,0.37,0.7956989247311828,40,1,0.7956989247311828,0.20430107526881724,40,,1,1,1,1,,,,,,,,,
,BODY,,22.140000000000004,,,15.03,32.32258064516128,,36,32.32258064516128,0.8978494623655912,,,,,,,,,,,,,,,
Iron table,Front Edge 15Mm Fusing Tape,Iron,0.44,1,136.36363636363637,0.44,0.946236559139785,41,1,0.946236559139785,0.053763440860215006,41,,1,1,1,1,,,,,,,,,
Table,Breast pocket Marking,,0.23,1,260.8695652173913,0.23,0.4946236559139785,42,1,0.913978494623656,0.08602150537634401,42,,1,1,1,1,">Operation to be combined with 2 dart ironing operator by providing the pattern
> Laser light provision for marking on iron bed",,,,,,,,
Table,Front Dart Marking And Cutting,,0.45,1,133.33333333333334,0.45,0.967741935483871,43,1,0.967741935483871,0.032258064516129004,43,,1,1,1,1,,,,,,,,,
SNLS DF,Front Dart Seam,,0.48,1,250,0.48,1.032258064516129,44,2,1.032258064516129,0.967741935483871,44,,1,1,1,1,,,,,,,,,
Iron table,Front Dart Iron,Iron,0.65,0.3,92.3076923076923,0.195,0.41935483870967744,42,,,,,,1,1,1,1,,,,,,,,,
Iron table,Front Dart Iron,Iron,0.65,0.7,92.3076923076923,0.45499999999999996,0.9784946236559139,45,1,0.9784946236559139,0.021505376344086113,45,,1,1,1,1,,,,,,,,,
SNLS TF,Side Part To Front Part Seam,,0.85,1,141.1764705882353,0.85,1.8279569892473118,46,2,1.8279569892473118,0.17204301075268824,46,,1,1,1,1,,,,,,,,,
Buck press, Side Part Seam Ironing + Pressing,Press,0.94,1,127.65957446808511,0.94,2.021505376344086,47,2,2.021505376344086,-0.021505376344086002,47,,1,1,1,1,2,,,,,,,,
SNCS,Armhole Tape Attach+ Tape Att,,0.43,1,139.53488372093022,0.43,0.9247311827956989,48,1,0.9247311827956989,0.07526881720430112,48,,1,1,1,1,,,,,,,,,
Buck press,Breast Pkt Folding And Fusing,,0.25,1,240,0.25,0.5376344086021505,49,1,0.9505376344086021,0.04946236559139794,49,,1,1,1,1,,,,,,,,,
SNLS DF,Brest Pkt Attach + Cutting,,0.64,0.3,93.75,0.192,0.4129032258064516,49,,,,49,,1,1,1,1,,,,,,,,,
SNLS DF,Brest Pkt Attach + Cutting,,0.64,0.7,93.75,0.44799999999999995,0.9634408602150536,50,1,0.9634408602150536,0.036559139784946404,50,,1,1,1,1,,,,,,,,,
Iron table,Breastpkt Ends Cut + Seam Open And Iron ,Iron,0.61,0.75,98.36065573770492,0.4575,0.9838709677419355,51,1,0.9838709677419355,0.016129032258064502,51,,1,1,1,1,,,,,,,,,
Iron table,Breastpkt Ends Cut + Seam Open And Iron ,Iron,0.61,0.25,98.36065573770492,0.1525,0.3279569892473118,54,,,,54,,1,1,1,1,,,,,,,,,
Zig zag,Zig Zag Seam On Brest Pkt Side,,0.44,1,136.36363636363637,0.44,0.946236559139785,52,1,0.946236559139785,0.053763440860215006,52,,1,1,1,1,,,,,,,,,
SNLS DF,Breast Pkt Bag Close,,0.69,0.7,86.95652173913044,0.48299999999999993,1.0387096774193547,53,1,1.0387096774193547,-0.038709677419354716,53,,1,1,1,1,,,,,,,,,
SNLS DF,Breast Pkt Bag Close,,0.69,0.3,86.95652173913044,0.207,0.44516129032258067,54,1,0.7731182795698925,0.22688172043010746,54,,1,1,1,1,,,,,,,,,
SNLS NF edge cut ,Flap Seam,,0.46,1,130.43478260869566,0.46,0.989247311827957,55,1,0.989247311827957,0.010752688172043001,55,,1,1,1,1,,,,,,,,,
Buck press,Flap Revolve And Pressing + Manual ironing,Press,0.45,1,133.33333333333334,0.45,0.967741935483871,56,1,0.967741935483871,0.032258064516129004,56,,1,1,1,1,,,,,,,,,
SNLS DF,Flap dummy stitch ,,0.45,1,133.33333333333334,0.45,0.967741935483871,57,1,0.967741935483871,0.032258064516129004,57,,1,1,1,1,,,,,,,,,
Welting M/C,Front Pocket Flap Cut And Welting (2 Pkts),,0.71,0.6,84.50704225352113,0.426,0.9161290322580645,58,1,0.9161290322580645,0.08387096774193548,58,,1,1,1,1,,,,,,,,,
Welting M/C,Front Pocket Flap Cut And Welting (2 Pkts),,0.71,0.4,84.50704225352113,0.284,0.610752688172043,59,1,0.610752688172043,0.389247311827957,59,,1,1,1,1,,,,,,,,,
Table,Welt Pkt Bone Ends Cut Separate And Trim ,,0.26,1,230.76923076923077,0.26,0.5591397849462365,60,1,0.8731182795698924,0.1268817204301076,60,,1,1,1,1,,,,,,,,,
SNLS DF,Facing To Pocket Lining Seam,,0.44,1,136.36363636363637,0.44,0.946236559139785,61,1,0.946236559139785,0.053763440860215006,61,,1,1,1,1,,,,,,,,,
SNLS NF,Front Pocket Bag Close,,1.46,0.1,41.09589041095891,0.146,0.3139784946236559,60,,,,60,,1,1,1,1,,,,,,,,,
SNLS NF,Front Pocket Bag Close,,1.46,0.9,123.28767123287673,1.314,2.825806451612903,62,3,2.825806451612903,0.17419354838709689,62,,1,1,1,1,,,,,,,,,
Iron table,Front Pocket And Breast Pocket Iron,Iron,0.66,0.65,90.9090909090909,0.42900000000000005,0.9225806451612905,63,1,0.9225806451612905,0.07741935483870954,63,,1,1,1,1,,,,,,,,,
Iron table,Chest Piece Attach And Fusing,Iron,0.66,0.65,90.9090909090909,0.42900000000000005,0.9225806451612905,64,1,0.9225806451612905,0.07741935483870954,64,,1,1,1,1,,,,,,,,,
Iron table,Front Pocket And Breast Pocket Iron,Iron,0.66,0.35,90.9090909090909,0.23099999999999998,0.49677419354838703,65,1,0.9935483870967741,0.006451612903225934,65,,1,1,1,1,,,,,,,,,
Iron table,Chest Piece Attach And Fusing,Iron,0.66,0.35,90.9090909090909,0.23099999999999998,0.49677419354838703,65,,,,65,,1,1,1,1,,,,,,,,,
Buck press,Left + Right Bombay Pressing,Press,0.46,1,130.43478260869566,0.46,0.989247311827957,66,1,0.989247311827957,0.010752688172043001,66,,1,1,1,1,2,,,,,,,,
SNLS DF,Stitch On Arm Hole ,,0.46,1,130.43478260869566,0.46,0.989247311827957,67,1,0.989247311827957,0.010752688172043001,67,,1,1,1,1,,,,,,,,,
SNLS NF,Cebter Back Seam ,,0.43,1,139.53488372093022,0.43,0.9247311827956989,68,1,0.9247311827956989,0.07526881720430112,68,,1,1,1,1,,,,,,,,,
SNLS DF,Back Tape Attach,,0.5,0.8,120,0.4,0.8602150537634409,69,1,0.8602150537634409,0.13978494623655913,69,,1,1,1,1,,,,,,,,,
SNLS TF,Back To Side Seam,,0.53,0.8,113.20754716981132,0.42400000000000004,0.9118279569892475,70,1,0.9118279569892475,0.08817204301075254,70,,1,1,1,1,,,,,,,,,
SNLS TF,Back To Side Seam,,0.53,0.2,113.20754716981132,0.10600000000000001,0.22795698924731186,71,1,0.4430107526881721,0.5569892473118279,71,,1,1,1,1,,,,,,,,,
SNLS DF,Back Tape Attach,,0.5,0.2,120,0.1,0.21505376344086022,71,,,,71,,1,1,1,1,,,,,,,,,
,BODY ASSEMBLY,,18.98,,,15.529999999999996,33.39784946236559,,37,33.397849462365585,0.9026445800639348,,,,,,,,,,,,,,,
Buck press,Back Side + Center Back Ironing(Side Vent),Press,0.41,1,146.34146341463415,0.41,0.8817204301075269,72,1,0.8817204301075269,0.11827956989247312,72,,1,1,1,1,,,,,,,,,
Iron table,Bottom Turn Up Folding + Pressing,Press,0.4,1,150,0.4,0.8602150537634409,73,1,0.8602150537634409,0.13978494623655913,73,,1,1,1,1,,,,,,,,,
SNLS TF, Shoulder Seam,,0.45,1,133.33333333333334,0.45,0.967741935483871,74,1,0.967741935483871,0.032258064516129004,74,,1,1,1,1,,,,,,,,,
Buck press,Shoulder Seam Open And Iron,Press,0.41,1,146.34146341463415,0.41,0.8817204301075269,75,1,0.8817204301075269,0.11827956989247312,75,,1,1,1,1,,,,,,,,,
Buck press,Shoulder Pad Pressing New,,0.68,0.65,88.23529411764706,0.44200000000000006,0.9505376344086023,76,1,0.9505376344086023,0.04946236559139772,76,,1,1,1,1,,,,,,,,,
Buck press,Shoulder Pad Pressing New,Press,0.68,0.35,88.23529411764706,0.238,0.5118279569892473,101,1,0.8397849462365592,0.1602150537634408,101,,1,1,1,1,Single man power to be used. Study need to be done,,,,,,,,
Table,Bottom marking,,0.29,1,206.89655172413794,0.29,0.6236559139784946,77,1,0.6236559139784946,0.3763440860215054,77,,1,1,1,1,,,,,,,,,
Table,Lining Matching To Body ,,1.02,1,117.6470588235294,1.02,2.193548387096774,78,2,2.193548387096774,-0.19354838709677402,78,,1,1,1,1,,,,,,,,,
SNLS DF,Lapel Step Seam/Jig,,0.81,1,148.14814814814815,0.81,1.7419354838709677,79,2,1.7419354838709677,0.25806451612903225,79,,1,1,1,1,,,,,,,,,
SNLS DF,Collar Att ,,1.03,0.9,116.50485436893203,0.927,1.9935483870967743,80,2,1.9935483870967743,0.006451612903225712,80,,1,1,1,1,,,,,,,,,
Iron table,Collar Iron,Iron,0.45,1,133.33333333333334,0.45,0.967741935483871,81,1,0.967741935483871,0.032258064516129004,81,,1,1,1,1,,,,,,,,,
SNLS DF,Collar Att ,,1.03,0.1,58.252427184466015,0.10300000000000001,0.22150537634408604,82,1,0.47096774193548385,0.5290322580645161,82,,1,1,1,1,,,,,,,,,
Iron table,Close collar ironing,Iron,0.43,1,139.53488372093022,0.43,0.9247311827956989,83,1,0.9247311827956989,0.07526881720430112,83,,1,1,1,1,,,,,,,,,
SNLS TF,Collar Lining Close,,0.58,0.8,103.44827586206897,0.46399999999999997,0.9978494623655912,84,1,0.9978494623655912,0.0021505376344087557,84,,1,1,1,1,,,,,,,,,
SNLS TF,Collar Lining Close,,0.58,0.2,103.44827586206897,0.11599999999999999,0.2494623655913978,82,,,,82,,1,1,1,1,,,,,,,,,
Zig zag,Under collar zig zag ,,0.71,1,169.01408450704227,0.71,1.5268817204301075,85,2,1.5268817204301075,0.4731182795698925,85,,1,1,1,1,,,,,,,,,
SNLS TF,Facing Seam,,0.91,1,131.86813186813185,0.91,1.956989247311828,86,2,1.956989247311828,0.043010752688172005,86,,1,1,1,1,,,,,,,,,
Step cut ,Front Edge Step Cut,,0.44,1,136.36363636363637,0.44,0.946236559139785,87,1,0.946236559139785,0.053763440860215006,87,,1,1,1,1,,,,,,,,,
,Facing Seam Open And Iron & bottom cut ,Iron,0.88,1,136.36363636363637,0.88,1.89247311827957,88,2,1.89247311827957,0.10752688172043001,88,,1,1,1,1,,,,,,,,,
,Lining To Body Bottom ,,1.69,1,142.01183431952663,1.69,3.6344086021505375,89,4,3.6344086021505375,0.3655913978494625,89,,1,1,1,1,,,,,,,,,
,Trim The Lapel Corners And Reverse The Jkt,,0.71,1,169.01408450704227,0.71,1.5268817204301075,90,2,1.7634408602150538,0.23655913978494625,90,,1,1,1,1,,,,,,,,,
,Vent Kinnary,,0.4,1,150,0.4,0.8602150537634409,91,1,0.8602150537634409,0.13978494623655913,91,,1,1,1,1,,,,,,,,,
,Facing Bottom Turn Up Bordering With Iron,Iron,1.19,1,151.2605042016807,1.19,2.5591397849462365,92,3,2.5591397849462365,0.4408602150537635,92,,1,1,1,1,4,,,,,,,,
,Facing + Lapel Reverse Pressing,Press,0.61,0.25,98.36065573770492,0.1525,0.3279569892473118,101,,,,101,,1,1,1,1,,,,,,,,,
,Facing + Lapel Reverse Pressing,Press,0.61,0.75,98.36065573770492,0.4575,0.9838709677419355,93,1,0.9838709677419355,0.016129032258064502,93,,1,1,1,1,,,,,,,,,
,Collar Kinnary,,0.55,0.2,218.18181818181816,0.11000000000000001,0.23655913978494628,90,,,,90,,1,1,1,1,Gum can be used to avoid collar kinnary.  Need VP instruction,,,,,,,,
,Collar Kinnary,,0.55,0.8,109.09090909090908,0.44000000000000006,0.9462365591397851,94,1,0.9462365591397851,0.053763440860214895,94,,1,1,1,1,,,,,,,,,
,LINING BOTTOM TURN UP AND BLIND STITCH ,,0.48,1,125,0.48,1.032258064516129,95,1,1.032258064516129,-0.032258064516129004,95,,1,1,1,1,,,,,,,,,
,SLEEVE ASSEMBLY,,12.240000000000002,,,10.170000000000002,21.870967741935488,,25,21.870967741935488,0.8748387096774195,,,,,,,,,,,,,,,
Table,Sleeeve Matching To Body,,0.72,1,166.66666666666669,0.72,1.5483870967741935,96,2,1.5483870967741935,0.4516129032258065,96,,1,1,1,1,,,,,,,,,
Special M/C,Sleeve Seam,,1.44,0.9,125.00000000000001,1.296,2.7870967741935484,97,3,2.7870967741935484,0.2129032258064516,97,,1,1,1,1,Need FM intervention on this . Need to do snap study ,,,,,,,,
Special M/C,Sleeve Seam,,1.44,0.1,41.66666666666667,0.144,0.3096774193548387,111,1,0.7161290322580645,0.28387096774193554,111,,1,1,1,1,,,,,,,,,
Iron table,Fullness On Armhole Decreasing By Ironing,Iron,0.63,0.3,95.23809523809524,0.189,0.4064516129032258,111,,,,,,1,1,1,1,,,,,,,,,
Iron table,Fullness On Armhole Decreasing By Ironing,Iron,0.63,0.7,95.23809523809524,0.44099999999999995,0.9483870967741934,98,1,0.9483870967741934,0.05161290322580658,98,,1,1,1,1,,,,,,,,,
Buck press,Top Armhole Ironing And Pressing,Press,0.42,1,142.85714285714286,0.42,0.9032258064516129,99,1,0.9032258064516129,0.09677419354838712,99,,1,1,1,1,,,,,,,,,
SNLS DF,Sleeve Head Role Ready ,,0.44,1,136.36363636363637,0.44,0.946236559139785,102,1,0.946236559139785,0.053763440860215006,102,,1,1,1,1,,,,,,,,,
Overlock,Gatharing,,0.3,1,200,0.3,0.6451612903225806,103,1,0.6451612903225806,0.3548387096774194,103,,1,1,1,1,,,,,,,,,
SNLS Rising bed,Head Roll Attach,,1.33,1,135.33834586466165,1.33,2.860215053763441,104,3,2.860215053763441,0.13978494623655902,104,,1,1,1,1,,,,,,,,,
SNLS TF,Lining Sleeve Seam,,1.38,1,130.43478260869566,1.38,2.967741935483871,105,3,2.967741935483871,0.032258064516129004,105,,1,1,1,1,,,,,,,,,
Basting M/C,Lining To Fabric Armhole Fastening,,1.07,1,168.22429906542055,1.07,2.3010752688172045,106,3,2.3010752688172045,0.6989247311827955,106,,1,1,1,1,,,,,,,,,
SNLS DF,Button Hole On Front (2 Btns),,0.42,1,142.85714285714286,0.42,0.9032258064516129,107,1,0.9032258064516129,0.09677419354838712,107,,1,1,1,1,,,,,,,,,
Table,Button Hole Bar Tacking + Trimming,,0.43,1,139.53488372093022,0.43,0.9247311827956989,108,1,0.9247311827956989,0.07526881720430112,108,,1,1,1,1,,,,,,,,,
Button hole,Hind Seam Close Complete,,0.47,1,127.65957446808511,0.47,1.010752688172043,109,1,1.010752688172043,-0.010752688172043001,109,,1,1,1,1,,,,,,,,,
Bar tack,Unbasting + Seam Cleaning,,1.12,1,160.71428571428572,1.12,2.4086021505376345,110,3,2.4086021505376345,0.5913978494623655,110,,1,1,1,1,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,
