Line ,Date of Gap,Check,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Act,Unnamed: 8
Line-2B,,,,860,,"Yes
Maintenance","In sleeve section
indexor machine problem for loose thread and button hole Measurement issuses then parts will be change
9.30 to 5.30 alternate machine arranged  . we can't able to do production level 150 pcs Because Line L2A & L2B combination . Repeated Indexor machine problem.",J - Machine breakdown
Line-2B,,,,1280,,"Yes
Cutting","In body section loading issuse
Dart cutting-4.00 to 5.10=70mins
Dart seam-4.30 to 5.30=60mins
Dart iron-5.00 to 5.30=30mins
Center back seam- 5.00 to 5.30=30mins
Side panel seam-5.00 to 5.30=30 mins
Arm hole tape -5.25 to 5.30=5mins
Flap seam-3.40 to 5.30=110mins
Breast pkt ready iron-4.00 to 5.30=90mins",G - No feeding from material 
Line-2B,2025-02-24,Loss time,0,1463,,"Yes
Cutting","In body section loading issuses
Dart cutting-9.25 to 9.42=17mins
Dart seam-9.10 to 9.40=30mins
Dart iron-9.15 to 9.45=30mins
Center back seam-9.10 to 9.40=30mins
Side panel attach-9.30 to 10.00=30mins
Armhole tape attach-9.10 to 10.30=80mins
Side panel iron-10.00 to 11.00=60mins
Breast pkt attach-9.30 to 11.30=120mins
Breast pkt open seam iron-9.30 to 11.30=120mins
Breast pkt bag close-9.30 to 11.30=120mins
Breast pkt zigzag-9.30 to 11.30=120mins
Flap seam-9.10 to 10.00=50mins
Flap pressing-9.10 to 10.00=50mins
Flap dummy stitch-9.10 to 10.00=50mins
Pkt lining facing seam-9.10 to 10.40=90mins
Welting matching-10.00 to 11.00=60mins
Welting-10.00 to 11.00=60mins
Bone cut-10.00 to 11.00=60mins",G - No feeding from material 
Line-2B,,,,900,,"Yes
Maintenance","In collar section Side Lining Attach machine problem for over stitch thus why drop 11.00 to 2.00=180mins
",J - Machine breakdown
Line-2B,2025-02-25,Loss time,0,35,,"Yes
Store","In sleeve section
Goldseal(VDSUG0247SL),(VDSUG0246SL) W.no(83114) ,(83115) 450,150qts
Mental Button delay for store 11.45 to 12.15=35mins",G - No feeding from material 
Line-2B,2025-02-26,Loss time,0,5150,,"Yes
Cutting","In Body section loading issuses
Dart cutting-11.00 to 3.00=240
Dart seam-12.20 to 3.40=240mins
Dart iron-1.00 to 3.45=165mis
Side panel-2.00 to 3.45=105mins
Center back seam-11.20 to 3.30=290mins
Arm hole tape -2.00 to3.50=110mins
Side panel iron-2.30 to3.55=85mins
Breast pkt ready -11.00 to 3.00=240mins
Breast pkt attach-2.30 to 4.15=105mins
Breast pkt open seam iron-2.45 to 4.20=185mins
Breast pkt bag close-3.00 to 4.25=85mins
Breast pkt zigzag-3.30 to 4.10=40mins
Flap seam-2.35 to 3.00=95mins
Flap pressing-2.40 to 3.30=130mins
Flap dummy stitch-3.30 to 4.00=30mins
Flap matching-3.30 to 4.10=40mins
Pkt lining facing seam-2.30 to 3.30=60mins
",G - No feeding from material 
Line-2B,2025-02-27,Loss time,0,50,,"Yes
Store","In body section trims issuse
Breast pkt zigzag=4.30 to 5.20",G - No feeding from material 
Line-2B,,,,4160,,"Yes
Cutting","In Body section loading issuses
Dart cutting-1.00 to 3.40=160mins
Dart seam-3.00to 4.00=60mins
Dart iron-3.15to 4.15=60mis
Side panel-3.40 to 4.00=20mins
Center back seam-3.00 to 4.00=60mins
Arm hole tape -3.54 to 4.10=16mins
Side panel iron-3.30 to4.30=60mins
Breast pkt ready -12.30 to 3.30=180mins

Flap seam-3.30 to 4.30=60mins
Canvas loading issuses-9.00 to 10.00=60mins Goldseal(VDSUG0316) W.no(83116) 351 qts
In lining section loading issuses
Front facing seam-3.30 to 4.30=60mins
Facing iron-3.30 to 4.30=60mins
Wash care label-4.30 to 5.00=30mins
Brand label-2.30 4

",G - No feeding from material 
Line-2B,,,,2600,,"Yes
Cutting","In Body section loading issuses
Dart cutting-3.00 to 4.30=90mins
Dart seam-4.00to 4.40=40mins
Dart iron-4.20to 4.50=30mis
Side panel-4.30 to 4.50=20mins
Center back seam-4.00 to 4.30=30mins
Arm hole tape -4.40 to 5.00=20mins
Side panel iron-5.10 to5.30=20mins
Breast pkt ready -2.00 to 4.00=120mins
Flap seam-4.00 to 4.30=30mins
In lining section loading issuses
Goldseal(LPBZG0062SL) W.no(83473) Qts(982) size label,loop
Wash care label-9.10 to 12.00=170mins


",G - No feeding from material 
Line-3,2025-02-13,Loss time,0,720,,Cutting,"In lining section loading issue (W.O-81664/G.S-LP174)2.30-3.30=60 MINS&3.30-4.00=30MINS TOTAL=90MINS
",G - No feeding from material 
Line-3,,,,,,Cutting,"In body section loading issue (W.O-81664/G.S-LP174)12.30-1.00=30mins&2.30-3.00=30mins&3.30-4.00=30mins TOTAL=90MINS
",G - No feeding from material 
Line-3,2025-02-14,Loss time,0,480,,Cutting,"In bodysection loading issue (W.O-80337/G.S-VH266) 12.00-1.00=60MINS
",G - No feeding from material 
Line-3,,,,,,Cutting,"In lining section loading issue (W.O-80337/G.S-VH266) 12.00-1.00=60MINS
",G - No feeding from material 
Line-3,2025-02-15,Loss time,0,450,,Cutting,"In lining section loading issue (W.O-81754/G.S-VD98) 12.00-1.00=60MINS&2.00-2.30=30 MINS 
TOTAL=90 MINS
",G - No feeding from material 
Line-3,2025-02-17,Loss time,0,300,,Cutting,"In Body section loading issue (W.O-81165/G.S-PI266) 2.00-2.30=30MINS&3.00-3.30=30 MINS 
TOTAL=60 MINS
",G - No feeding from material 
Line-3,2025-02-18,Loss time,0,300,,Cutting,"In Lining section loading issue (W.O-82130/G.S-AT04) 2.00-2.30=30MINS&5.00-5.30=30 MINS 
TOTAL=60 MINS
",G - No feeding from material 
Line-3,2025-02-20,Loss time,0,2970,,Cutting,"In Lining section loading issue (W.O-82596/G.S-VH361)(W.O-82324/AT51-82324)10.00-10.30=30mins 11.30-12.00=30 mins12.00-1.00=60mins 2.00-2.30=30mins 4.30-5.30=60 mins
total=225mins",G - No feeding from material 
Line-3,,,,,,Cutting,"In body section loading issue (W.O-82596/G.S-AT51)12.00-1.00=60mins 2.00-2.30=30mins
total=90mins
",G - No feeding from material 
Line-3,2025-02-21,Loss time,0,450,,Cutting,"In Lining section loading issue (W.O-82679/G.S-VH266)3.30-5.00=90MINS
TOTAL=60 MINS
",G - No feeding from material 
Line-3,2025-02-24,Loss time,0,690,,Cutting,"In Lining section loading issue (W.O-82328/G.S-AT51)2.30-3.30=60mins 4.00-4.30=30mins
total=90mins
TOTAL=60 MINS
",G - No feeding from material 
Line-3,,,,,,Cutting,"In body section loading issue (W.O-82328/G.S-AT51)3.00-3.30=30mins
total=90mins
",G - No feeding from material 
Line-3,2025-02-25,Loss time,0,450,,Cutting,"In body section loading issue (W.O-82462/G.S-LP249) 10.30-11.00=30MINS&11.00-12.00=60 MINS 
TOTAL=90MINS
TOTAL=90 MINS
",G - No feeding from material 
Line-3,2025-02-27,Loss time,0,270,,Cutting,"In Lining section loading issue (W.O-83962/G.S-PI266) 1.30-2.00=30mins&2.30-3.00=30mins&3.30-4.00=30mins
total=90mins
TOTAL=90MINS
TOTAL=90 MINS
",G - No feeding from material 
Line-4,2025-02-04,Loss time,0,2160,,Maintenance,"In body asembly Shoulder pad pressing Machine bfreakdown from 3:00 to 5:30 
but spare machine was given by Maintence at 4:00.",J - Machine breakdown
Line-4,2025-02-19,Loss time,0,8640,,Cutting,"From cutting section there is no feeding for chest canvas From 9:00 to 10:45 & 12:20 to 2:00

From body section 48 Manpower were idol for 3hours.",G - No feeding from material 
Line-4,2025-02-20,Loss time,0,1680,,Cutting,"From cutting section there is no feeding for chest canvas From 11:30 to 1:30

From body section 28 Manpower were idol for 3hours.",G - No feeding from material 
Line-4,,Loss time,0,600,,Store,"From store department there is no feeding for Bias cutting From bias cutting they didn't Workorder piping on time (82371,82372)
So From 1:30 to 3:50 the production is stopped from Lining Section.
",G - No feeding from material 
,,Total Loss time in contracted hours,,187789,,,,
