Inspector_ID,QC_Department,Inspection_Type_Order,Quality_Target,Workstation_Assignment,Shift_Time,Urgency_Level
QC2000,QC Inspector - Trim QC,Batch-430 | Seam Quality Check (Order: 30146),Defect Rate < 4%,Fabric Testing FT-08,10:00-19:00,Priority
QC2083,QC Supervisor - Packing QC,Batch-181 | Fit Check (Order: 19351),Inspection Quota 137 pieces,Light Box LB-06,08:00-17:00,Standard
QC2084,Senior QC - Pre-Production QC,Batch-719 | Washing Test (Order: 45058),Throughput Target 37 pieces/hour,Photo Studio PS-13,08:00-17:00,Priority
QC2085,QC Manager - Pre-Production QC,Batch-523 | Trim Quality Check (Order: 69020),Inspection Quota 97 pieces,QC Table QT-03,15:00-23:00,Standard
QC2086,Senior QC - Pre-Production QC,Batch-315 | Washing Test (Order: 20494),Inspection Quota 151 pieces,Inspection Booth IB-02,07:00-15:00,Routine
QC2087,QC Manager - Trim QC,Batch-889 | Seam Quality Check (Order: 13455),Throughput Target 53 pieces/hour,Inspection Booth IB-02,08:00-17:00,Routine
QC2088,QC Inspector - Packing QC,Batch-499 | Measurement Check (Order: 95830),Accuracy Target 98%,Light Box LB-12,08:00-17:00,Routine
QC2089,QC Inspector - Trim QC,Batch-958 | Color Matching (Order: 79041),Inspection Quota 57 pieces,QC Table QT-11,08:00-17:00,Standard
QC2090,Senior QC - AQL Inspection,Batch-578 | Fit Check (Order: 72410),Accuracy Target 96%,Photo Studio PS-03,10:00-19:00,Routine
QC2091,QC Manager - Final QC,Batch-746 | Embroidery Quality (Order: 69840),Throughput Target 53 pieces/hour,Fabric Testing FT-15,08:00-17:00,Priority
QC2092,QC Manager - Trim QC,Batch-552 | Fabric Defect Check (Order: 21738),Accuracy Target 99%,Audit Station AS-05,15:00-23:00,Standard
QC2093,QC Trainee - Fabric QC,Batch-934 | Seam Quality Check (Order: 78592),Inspection Quota 138 pieces,Fabric Testing FT-08,10:00-19:00,Standard
QC2094,QC Supervisor - Inline QC,Batch-406 | Durability Test (Order: 72530),Defect Rate < 2.5%,Fabric Testing FT-10,15:00-23:00,Urgent
QC2095,QC Trainee - AQL Inspection,Batch-293 | Trim Quality Check (Order: 58974),Throughput Target 76 pieces/hour,Audit Station AS-07,15:00-23:00,Standard
QC2096,QC Supervisor - Final QC,Batch-325 | Fit Check (Order: 59592),Accuracy Target 95%,Audit Station AS-11,15:00-23:00,Priority
QC2097,QC Manager - Packing QC,Batch-378 | Durability Test (Order: 99737),Accuracy Target 96%,Fabric Testing FT-07,15:00-23:00,Standard
QC2098,QC Trainee - AQL Inspection,Batch-396 | Color Matching (Order: 27907),Defect Rate < 2.5%,Photo Studio PS-05,10:00-19:00,Standard
QC2099,QC Inspector - Trim QC,Batch-255 | Label Verification (Order: 12542),Defect Rate < 4%,QC Table QT-03,07:00-15:00,Routine
QC2100,Senior QC - Fabric QC,Batch-844 | Color Matching (Order: 67464),Defect Rate < 3%,Inspection Booth IB-03,07:00-15:00,Standard
QC2101,QC Inspector - Trim QC,Batch-419 | Label Verification (Order: 65082),Throughput Target 43 pieces/hour,Photo Studio PS-12,07:00-15:00,Standard
QC2102,QC Trainee - Fabric QC,Batch-157 | Fit Check (Order: 29148),Accuracy Target 97%,Inspection Booth IB-09,09:00-18:00,Standard
QC2103,QC Inspector - Final QC,Batch-936 | Appearance Check (Order: 42778),Throughput Target 73 pieces/hour,QC Table QT-02,15:00-23:00,Routine
QC2104,QC Supervisor - Trim QC,Batch-303 | Fabric Defect Check (Order: 14392),Throughput Target 67 pieces/hour,Inspection Booth IB-09,15:00-23:00,Routine
QC2105,QC Supervisor - Trim QC,Batch-430 | Print Quality Check (Order: 50908),Inspection Quota 60 pieces,Inspection Booth IB-05,09:00-18:00,Standard
QC2106,Senior QC - Pre-Production QC,Batch-153 | Fabric Defect Check (Order: 57241),Inspection Quota 78 pieces,Light Box LB-11,09:00-18:00,Standard
QC2107,QC Trainee - Fabric QC,Batch-698 | Color Matching (Order: 46188),Defect Rate < 2.5%,Light Box LB-01,07:00-15:00,Standard
QC2108,QC Supervisor - Packing QC,Batch-258 | Washing Test (Order: 88146),Accuracy Target 95%,Light Box LB-03,09:00-18:00,Priority
QC2109,QC Manager - Inline QC,Batch-161 | Label Verification (Order: 91937),Defect Rate < 1.5%,Measurement Station MS-12,10:00-19:00,Priority
QC2110,QC Trainee - AQL Inspection,Batch-338 | Color Matching (Order: 73942),Accuracy Target 96%,Wash Test WT-13,09:00-18:00,Routine
QC2111,QC Inspector - Pre-Production QC,Batch-466 | Seam Quality Check (Order: 59514),Inspection Quota 114 pieces,QC Table QT-08,09:00-18:00,Priority
QC2112,Senior QC - Packing QC,Batch-294 | Trim Quality Check (Order: 74237),Inspection Quota 189 pieces,Wash Test WT-06,09:00-18:00,Priority
QC2113,QC Manager - Fabric QC,Batch-264 | Appearance Check (Order: 82682),Defect Rate < 4%,Measurement Station MS-08,08:00-17:00,Routine
QC2114,Senior QC - AQL Inspection,Batch-564 | Trim Quality Check (Order: 58118),Defect Rate < 4%,Audit Station AS-12,15:00-23:00,Urgent
QC2115,QC Manager - Inline QC,Batch-894 | Fit Check (Order: 57720),Inspection Quota 132 pieces,Inspection Booth IB-11,10:00-19:00,Urgent
QC2116,QC Supervisor - AQL Inspection,Batch-799 | Fabric Defect Check (Order: 78690),Throughput Target 69 pieces/hour,Measurement Station MS-10,08:00-17:00,Routine
QC2117,QC Supervisor - Fabric QC,Batch-213 | Print Quality Check (Order: 52208),Defect Rate < 4%,Inspection Booth IB-01,15:00-23:00,Standard
QC2118,QC Trainee - Final QC,Batch-597 | Fabric Defect Check (Order: 24031),Inspection Quota 75 pieces,QC Table QT-10,09:00-18:00,Urgent
QC2119,QC Supervisor - Pre-Production QC,Batch-818 | Trim Quality Check (Order: 91785),Accuracy Target 95%,Wash Test WT-04,10:00-19:00,Priority
QC2120,QC Trainee - Pre-Production QC,Batch-771 | Seam Quality Check (Order: 37359),Throughput Target 79 pieces/hour,Inspection Booth IB-08,07:00-15:00,Standard
QC2121,QC Manager - Fabric QC,Batch-941 | Washing Test (Order: 64519),Accuracy Target 95%,Fabric Testing FT-09,07:00-15:00,Standard
QC2122,QC Trainee - Pre-Production QC,Batch-179 | Fit Check (Order: 49833),Inspection Quota 182 pieces,Inspection Booth IB-02,15:00-23:00,Standard
QC2123,QC Supervisor - Packing QC,Batch-638 | Fabric Defect Check (Order: 35312),Inspection Quota 195 pieces,Measurement Station MS-09,10:00-19:00,Standard
QC2124,QC Trainee - Trim QC,Batch-690 | Durability Test (Order: 93705),Accuracy Target 97%,Audit Station AS-15,07:00-15:00,Priority
QC2125,QC Inspector - Final QC,Batch-616 | Trim Quality Check (Order: 62632),Accuracy Target 98%,Photo Studio PS-15,08:00-17:00,Standard
QC2126,QC Manager - Fabric QC,Batch-522 | Label Verification (Order: 58722),Throughput Target 72 pieces/hour,Wash Test WT-10,15:00-23:00,Standard
QC2127,QC Manager - Packing QC,Batch-884 | Fabric Defect Check (Order: 59160),Accuracy Target 99%,Photo Studio PS-08,09:00-18:00,Priority
QC2128,QC Trainee - Inline QC,Batch-116 | Button/Zipper Function (Order: 88087),Inspection Quota 127 pieces,QC Table QT-05,15:00-23:00,Routine
QC2129,Senior QC - Final QC,Batch-666 | Seam Quality Check (Order: 46170),Inspection Quota 74 pieces,QC Table QT-08,08:00-17:00,Standard
QC2130,QC Inspector - Final QC,Batch-696 | Button/Zipper Function (Order: 58114),Inspection Quota 109 pieces,Fabric Testing FT-13,08:00-17:00,Priority
QC2131,QC Manager - Inline QC,Batch-322 | Packaging Inspection (Order: 84588),Defect Rate < 1.5%,Photo Studio PS-03,09:00-18:00,Urgent
QC2132,QC Manager - AQL Inspection,Batch-709 | Fit Check (Order: 22499),Accuracy Target 95%,Audit Station AS-02,07:00-15:00,Priority
QC2133,Senior QC - AQL Inspection,Batch-526 | Label Verification (Order: 66925),Defect Rate < 3%,QC Table QT-11,09:00-18:00,Priority
QC2134,Senior QC - Inline QC,Batch-426 | Trim Quality Check (Order: 15397),Inspection Quota 133 pieces,Light Box LB-03,07:00-15:00,Routine
QC2135,QC Supervisor - Pre-Production QC,Batch-689 | Final Audit (Order: 88005),Defect Rate < 3%,Audit Station AS-05,09:00-18:00,Standard
QC2136,QC Inspector - Final QC,Batch-587 | Label Verification (Order: 20819),Defect Rate < 4%,Audit Station AS-05,07:00-15:00,Priority
QC2137,QC Manager - Trim QC,Batch-880 | Packaging Inspection (Order: 27088),Inspection Quota 173 pieces,Light Box LB-08,09:00-18:00,Standard
QC2138,QC Manager - Pre-Production QC,Batch-730 | Fabric Defect Check (Order: 83553),Inspection Quota 112 pieces,Inspection Booth IB-05,09:00-18:00,Standard
QC2139,QC Manager - Fabric QC,Batch-787 | Measurement Check (Order: 24749),Throughput Target 47 pieces/hour,Wash Test WT-06,15:00-23:00,Standard
QC2140,Senior QC - Fabric QC,Batch-124 | Embroidery Quality (Order: 95905),Accuracy Target 98%,Wash Test WT-10,09:00-18:00,Routine
QC2141,QC Inspector - Packing QC,Batch-937 | Final Audit (Order: 15882),Inspection Quota 101 pieces,Wash Test WT-03,07:00-15:00,Standard
QC2142,QC Trainee - Inline QC,Batch-251 | Fabric Defect Check (Order: 91396),Accuracy Target 95%,Wash Test WT-12,07:00-15:00,Standard
QC2143,QC Supervisor - Fabric QC,Batch-439 | Final Audit (Order: 12981),Inspection Quota 187 pieces,Light Box LB-04,10:00-19:00,Standard
QC2144,Senior QC - Packing QC,Batch-737 | Trim Quality Check (Order: 73311),Inspection Quota 54 pieces,Audit Station AS-10,10:00-19:00,Routine
QC2145,Senior QC - Inline QC,Batch-390 | Color Matching (Order: 17878),Inspection Quota 119 pieces,QC Table QT-08,07:00-15:00,Urgent
QC2146,QC Supervisor - Inline QC,Batch-778 | Print Quality Check (Order: 45561),Accuracy Target 95%,QC Table QT-05,09:00-18:00,Priority
QC2147,QC Supervisor - Final QC,Batch-423 | Trim Quality Check (Order: 23055),Throughput Target 75 pieces/hour,Inspection Booth IB-03,15:00-23:00,Priority
QC2148,QC Supervisor - Packing QC,Batch-140 | Trim Quality Check (Order: 12816),Inspection Quota 185 pieces,Fabric Testing FT-06,09:00-18:00,Priority
QC2149,QC Inspector - Trim QC,Batch-800 | Seam Quality Check (Order: 55453),Accuracy Target 99%,Fabric Testing FT-04,10:00-19:00,Standard
QC2150,QC Trainee - Fabric QC,Batch-999 | Print Quality Check (Order: 43774),Throughput Target 76 pieces/hour,QC Table QT-09,08:00-17:00,Routine
QC2151,QC Inspector - Final QC,Batch-772 | Label Verification (Order: 61491),Inspection Quota 72 pieces,Audit Station AS-09,10:00-19:00,Priority
QC2152,QC Inspector - AQL Inspection,Batch-686 | Packaging Inspection (Order: 41504),Inspection Quota 159 pieces,Fabric Testing FT-15,10:00-19:00,Priority
QC2153,QC Supervisor - Fabric QC,Batch-311 | Trim Quality Check (Order: 27271),Inspection Quota 198 pieces,Light Box LB-14,15:00-23:00,Priority
QC2154,QC Manager - Fabric QC,Batch-540 | Appearance Check (Order: 27727),Inspection Quota 194 pieces,Measurement Station MS-06,07:00-15:00,Standard
QC2155,QC Manager - Packing QC,Batch-288 | Washing Test (Order: 25517),Accuracy Target 98%,QC Table QT-13,08:00-17:00,Routine
QC2156,QC Supervisor - Trim QC,Batch-863 | Button/Zipper Function (Order: 68065),Accuracy Target 98%,Light Box LB-02,15:00-23:00,Standard
QC2157,QC Trainee - Final QC,Batch-731 | Durability Test (Order: 90213),Accuracy Target 96%,Light Box LB-10,15:00-23:00,Standard
QC2158,QC Trainee - Final QC,Batch-804 | Label Verification (Order: 20417),Throughput Target 28 pieces/hour,Photo Studio PS-12,08:00-17:00,Priority
QC2159,QC Supervisor - Final QC,Batch-240 | Final Audit (Order: 72108),Inspection Quota 99 pieces,Light Box LB-01,09:00-18:00,Priority
QC2160,QC Trainee - AQL Inspection,Batch-522 | Appearance Check (Order: 45370),Inspection Quota 101 pieces,Light Box LB-02,15:00-23:00,Standard
QC2161,QC Manager - Trim QC,Batch-987 | Final Audit (Order: 52584),Throughput Target 76 pieces/hour,Light Box LB-07,09:00-18:00,Critical
QC2162,QC Trainee - AQL Inspection,Batch-837 | Embroidery Quality (Order: 59856),Accuracy Target 97%,QC Table QT-09,07:00-15:00,Priority
QC2163,QC Supervisor - Trim QC,Batch-998 | Fit Check (Order: 15559),Inspection Quota 182 pieces,Audit Station AS-12,07:00-15:00,Standard
QC2164,QC Supervisor - Packing QC,Batch-150 | Trim Quality Check (Order: 92660),Inspection Quota 124 pieces,Photo Studio PS-07,08:00-17:00,Routine
QC2165,Senior QC - AQL Inspection,Batch-532 | Final Audit (Order: 31821),Accuracy Target 96%,QC Table QT-12,10:00-19:00,Standard
QC2166,QC Supervisor - Final QC,Batch-562 | Fit Check (Order: 94685),Defect Rate < 4%,Inspection Booth IB-03,10:00-19:00,Standard
QC2167,QC Manager - Pre-Production QC,Batch-523 | Color Matching (Order: 61520),Accuracy Target 97%,QC Table QT-03,09:00-18:00,Standard
QC2168,QC Inspector - Packing QC,Batch-192 | Appearance Check (Order: 69596),Accuracy Target 99%,Measurement Station MS-12,07:00-15:00,Standard
QC2169,QC Trainee - Inline QC,Batch-749 | Washing Test (Order: 68903),Accuracy Target 95%,Audit Station AS-12,10:00-19:00,Standard
QC2170,QC Inspector - Packing QC,Batch-489 | Packaging Inspection (Order: 82134),Defect Rate < 3%,Wash Test WT-10,15:00-23:00,Standard
QC2171,QC Inspector - Final QC,Batch-529 | Color Matching (Order: 16725),Accuracy Target 99%,Photo Studio PS-05,15:00-23:00,Urgent
QC2172,QC Inspector - Inline QC,Batch-737 | Fabric Defect Check (Order: 10463),Accuracy Target 95%,Photo Studio PS-08,09:00-18:00,Routine
QC2173,QC Trainee - Packing QC,Batch-343 | Embroidery Quality (Order: 74679),Inspection Quota 200 pieces,Photo Studio PS-08,09:00-18:00,Priority
QC2174,QC Trainee - Trim QC,Batch-106 | Embroidery Quality (Order: 88656),Inspection Quota 190 pieces,Fabric Testing FT-10,10:00-19:00,Standard
QC2175,QC Inspector - AQL Inspection,Batch-251 | Seam Quality Check (Order: 34227),Defect Rate < 1.5%,QC Table QT-03,07:00-15:00,Critical
QC2176,QC Manager - Pre-Production QC,Batch-405 | Fit Check (Order: 89073),Accuracy Target 95%,QC Table QT-02,09:00-18:00,Routine
QC2177,QC Inspector - Final QC,Batch-725 | Print Quality Check (Order: 47274),Inspection Quota 166 pieces,Wash Test WT-15,07:00-15:00,Standard
QC2178,Senior QC - Inline QC,Batch-488 | Label Verification (Order: 58309),Defect Rate < 2.5%,Inspection Booth IB-05,09:00-18:00,Critical
QC2179,QC Trainee - Final QC,Batch-437 | Washing Test (Order: 45968),Throughput Target 53 pieces/hour,Light Box LB-12,15:00-23:00,Urgent
QC2180,QC Trainee - Packing QC,Batch-847 | Measurement Check (Order: 84890),Defect Rate < 2.5%,Fabric Testing FT-07,10:00-19:00,Urgent
QC2181,Senior QC - AQL Inspection,Batch-688 | Button/Zipper Function (Order: 78864),Accuracy Target 98%,Photo Studio PS-09,09:00-18:00,Standard
